PeopleInterested,audiobookPrice,author,category,ebookPrice,paperPrice,publisher,score,title
178,"39,90",Remigiusz Mróz,Kryminał,"29,90","39,90",Czwarta Strona,"4,6",Inwigilacja 
19,"29,90",Jo Nesbo,Kryminał,"23,92",,Wydawnictwo Dolnośląskie,,Krew na śniegu 
186,"37,90",Remigiusz Mróz,Kryminał,"29,90","36,90",Czwarta Strona,"4,5",Immunitet 
108,"29,90",Wojciech Chmielarz,Kryminał,"27,90","39,90",Wydawnictwo Czarne,"4,4",Przejęcie 
65,,Katarzyna Puzyńska,Kryminał,"33,60",,Prószyński i S-ka,,Pokrzyk 
223,"39,90",Remigiusz Mróz,Kryminał,"31,89","39,90",Czwarta Strona,"4,4",Wyrok 
81,"37,00",Paulina Świst,Kryminał,"27,90",,Akurat,,Prokurator 
58,"34,99",David Lagercrantz,Kryminał,"34,99",,Czarna Owca,,"Millennium. Ta, która musi umrzeć "
96,"29,90",Wojciech Chmielarz,Kryminał,"27,90","39,90",Wydawnictwo Czarne,"4,5",Farma lalek 
166,"39,90",Remigiusz Mróz,Kryminał,"31,90","39,90",Czwarta Strona,"4,4",Testament 
135,"39,90",Remigiusz Mróz,Kryminał,"29,90","39,90",Filia,"4,2",Listy zza grobu 
40,,Paulina Świst,Kryminał,"33,00",,Skarpa Warszawska,,Zabójcze Święta 
,,Remigiusz Mróz,Kryminał,,,Filia,,W kręgach władzy Władza absolutna 
37,,Simon Beckett,Kryminał,"25,44",,Amber,,Zapisane w kościach 
56,,Marta Matyszczak,Kryminał,"23,92",,Wydawnictwo Dolnośląskie,,Kryminał pod psem. Trup w sanatorium 
50,"39,90",Katarzyna Bonda,Kryminał,"31,99",,Muza,,Pochłaniacz 
18,"34,50",Stephen King,Kryminał,"32,30","38,50",Wydawnictwo Albatros,"4,4",Pan Mercedes 
104,,Remigiusz Mróz,Kryminał,"26,90",,Filia,,Ekspozycja 
33,"39,90",Katarzyna Bonda,Kryminał,"31,89","14,90",Muza,"4,2",Tylko martwi nie kłamią 
79,,Remigiusz Mróz,Kryminał,"26,90",,Filia,,Trawers 
29,"39,90",Katarzyna Bonda,Kryminał,"31,89",,Muza,"4,4",Florystka 
45,"39,90",Małgorzata Rogala,Kryminał,"29,90","36,90",Czwarta Strona,"4,5",Dobra matka 
55,"30,00",Chris Carter,Kryminał,"31,50",,Sonia Draga,"4,6",Krucyfiks 
42,"34,90",Katarzyna Puzyńska,Kryminał,"30,40","38,00",Prószyński i S-ka,"4,4",Łaskun 
69,"29,90",Wojciech Chmielarz,Kryminał,"33,90","39,90",Wydawnictwo Czarne,"4,5",Osiedle marzeń 
53,"37,00",Paulina Świst,Kryminał,"27,90",,Akurat,"4,4",Komisarz 
42,"29,99",C. J. Tudor,Kryminał,"29,99","34,99",Czarna Owca,,Kredziarz 
48,"37,90",Katarzyna Puzyńska,Kryminał,"33,60","42,00",Prószyński i S-ka,"4,4",Nora 
17,"34,90",Jo Nesbo,Kryminał,"31,92","39,90",Wydawnictwo Dolnośląskie,,Macbeth 
45,"37,90",Katarzyna Puzyńska,Kryminał,"31,90","39,90",Prószyński i S-ka,"4,3",Rodzanice 
48,"29,90",Wojciech Chmielarz,Kryminał,"33,90",,Wydawnictwo Czarne,"4,3",Zombie 
28,"34,90",Katarzyna Puzyńska,Kryminał,"30,40","38,00",Prószyński i S-ka,"4,4",Dom czwarty 
13,"32,95",Anna Potyra,Kryminał,"28,00","34,90",Zysk i S-ka,"4,4",Pchła 
19,"35,00",Ove Løgmansbø,Kryminał,"28,00","35,00",Wydawnictwo Dolnośląskie,,Prom 
42,"34,90",Jo Nesbo,Kryminał,"31,92",,Wydawnictwo Dolnośląskie,"4,6",Pragnienie 
13,"39,99",C. J. Tudor,Kryminał,"34,99",,Czarna Owca,,Zniknięcie Annie Thorne 
16,,Kathryn Croft,Kryminał,"29,00",,Burda Książki,,Tylko jedno kłamstwo 
28,"34,90",Harlan Coben,Kryminał,"30,50","34,90",Wydawnictwo Albatros,"4,2",Nie odpuszczaj 
20,,Kathryn Croft,Kryminał,"31,00",,Burda Książki,,Nie ufaj nikomu 
10,"34,90",Michelle Frances,Kryminał,"29,90",,Wydawnictwo Albatros,,Ta dziewczyna 
19,,Sarah A. Denzil,Kryminał,"29,90",,Filia,,Milczące dziecko 
67,"39,90",Remigiusz Mróz,Kryminał,"29,90",,Filia,,Deniwelacja 
78,"29,90",Katarzyna Puzyńska,Kryminał,"28,80","36,00",Prószyński i S-ka,,Motylek 
26,"34,99",David Lagercrantz,Kryminał,"34,99",,Czarna Owca,,"Millennium. Mężczyzna, który gonił swój cień "
,,Marta Guzowska,Kryminał,"4,99",,Zbrodnicze Siostrzyczki,,Cztery zbrodnie na cztery pory roku 
100,,Lucinda Berry,Kryminał,"32,90",,Filia,,Idealne dziecko 
58,"34,99",Stieg Larsson,Kryminał,"34,90",,Czarna Owca,,"Millennium. Mężczyźni, którzy nienawidzą kobiet "
15,"39,90",Minka Kent,Kryminał,"29,90",,Filia,,Perfekcyjne kłamstwo 
32,"32,00",Jo Nesbo,Kryminał,"27,92",,Wydawnictwo Dolnośląskie,,Czerwone Gardło 
23,"35,00",Ove Løgmansbø,Kryminał,"28,00",,Wydawnictwo Dolnośląskie,,Enklawa 
42,"29,90",Jędrzej Pasierski,Kryminał,"29,90","34,90",Wydawnictwo Czarne,,Dom bez klamek 
44,"36,90",Małgorzata Rogala,Kryminał,"29,90",,Czwarta Strona,,Ważka 
39,"39,90",Peter Swanson,Kryminał,"31,90",,Marginesy,,Piękne kłamstwa 
23,"39,90",Max Czornyj,Kryminał,"29,90",,Filia,,Klątwa 
28,,Jo Nesbo,Kryminał,"23,92",,Wydawnictwo Dolnośląskie,,Karaluchy 
17,"34,90",Robert Galbraith,Kryminał,"31,90","39,90",Wydawnictwo Dolnośląskie,,Jedwabnik 
28,,Alek Rogoziński,Kryminał,"26,90",,Filia,,"Jak Cię zabić, kochanie? "
27,"32,00",Jo Nesbo,Kryminał,"27,92","14,99",Wydawnictwo Dolnośląskie,,Trzeci klucz 
31,"32,00",Jo Nesbo,Kryminał,"27,92",,Wydawnictwo Dolnośląskie,,Policja 
42,,Rachel Abbott,Kryminał,"29,90",,Filia,,Śpij spokojnie 
39,"34,99",Simon Beckett,Kryminał,"34,99",,Czarna Owca,"4,4",David Hunter. Niespokojni zmarli 
33,"43,90",Robert Galbraith,Kryminał,"39,92",,Wydawnictwo Dolnośląskie,,Cormoran Strike prowadzi śledztwo. Zabójcza biel 
74,"39,90",Remigiusz Mróz,Kryminał,"29,90","39,90",Filia,"4,2",Nieodnaleziona 
44,"39,90",Katarzyna Bonda,Kryminał,"33,50",,Muza,,Lampiony 
20,,Charlotte Link,Kryminał,"32,50",,Sonia Draga,,Oszukana 
30,"34,90",Katarzyna Puzyńska,Kryminał,"30,40","38,00",Prószyński i S-ka,"4,4",Czarne narcyzy 
168,"39,90",Remigiusz Mróz,Kryminał,"31,89","39,90",Czwarta Strona,"4,4",Umorzenie 
27,"34,90",Tess Gerritsen,Kryminał,"29,90",,Wydawnictwo Albatros,,"Sekret, którego nie zdradzę "
16,"31,00",Lisa Gardner,Kryminał,"32,00","38,00",Sonia Draga,"4,2",Dom dla lalek 
34,,Max Czornyj,Kryminał,"26,90",,Filia,,Ofiara 
55,"39,90",Remigiusz Mróz,Kryminał,"31,90","14,90",Czwarta Strona,"3,9",Hashtag 
24,,Caine Rachel,Kryminał,"29,90",,Filia,,Żona mordercy 
25,"36,90",Max Czornyj,Kryminał,"26,90",,Filia,,Pokuta 
16,"31,00",Lisa Gardner,Kryminał,"32,50","38,90",Sonia Draga,"4,4",Krok za tobą 
16,,Max Czornyj,Kryminał,"29,90",,Filia,,Najszczęśliwsza 
23,,Remigiusz Mróz,Kryminał,"29,90",,Filia,,Władza absolutna 
69,"36,90",Robert Małecki,Kryminał,"31,89","39,90",Czwarta Strona,"4,3",Wada 
49,"39,90",Max Czornyj,Kryminał,"29,90",,Filia,,Ślepiec 
16,,Sarah A. Denzil,Kryminał,"29,90",,Filia,,Morderczyni 
11,"34,90",Rebecca Fleet,Kryminał,"27,90","34,90",Marginesy,"3,5",Zamiana 
18,"39,90",Max Czornyj,Kryminał,"29,90",,Filia,,Trauma 
22,"39,90",Cara Hunter,Kryminał,"29,90",,Filia,,Kto mieszka za ścianą? 
,"39,90",Sue Watson,Kryminał,"29,90",,Filia,,Nasze małe kłamstwa 
19,"39,90",Max Czornyj,Kryminał,"29,90",,Filia,,Inna 
14,"39,90",Caine Rachel,Kryminał,"29,90",,Filia,,Polowanie na mordercę 
166,"39,90",Remigiusz Mróz,Kryminał,"31,89","39,90",Czwarta Strona,"4,5",Kontratyp 
53,,Małgorzata Rogala,Kryminał,"29,90",,Czwarta Strona,,Cicha noc 
24,"39,90",Sarah A. Denzil,Kryminał,"29,90",,Filia,,Jedyne dziecko 
18,"39,90",Max Czornyj,Kryminał,"29,90",,Filia,,Rzeźnik 
77,"36,90",Robert Małecki,Kryminał,"29,90","14,90",Czwarta Strona,"4,3",Skaza 
38,,Max Czornyj,Kryminał,"26,90",,Filia,,Grzech 
71,"37,90",Wojciech Chmielarz,Kryminał,"31,00","34,90",Marginesy,"4,3",Podpalacz 
78,"34,99",Camilla Läckberg,Kryminał,"34,99",,Czarna Owca,,Fjällbacka. Czarownica 
14,"35,00",Ove Løgmansbø,Kryminał,"28,00","35,00",Wydawnictwo Dolnośląskie,,Połów 
99,"39,90",Wojciech Chmielarz,Kryminał,"31,90",,Marginesy,,Cienie 
13,"36,90",Remigiusz Mróz,Kryminał,"29,90",,Czwarta Strona,,"Świt, który nie nadejdzie "
69,"39,90",Remigiusz Mróz,Kryminał,"29,90",,Filia,"4,1",Nieodgadniona 
29,,Remigiusz Mróz,Kryminał,"29,90",,Filia,,Większość bezwzględna 
66,"39,90",Remigiusz Mróz,Kryminał,"29,90",,Filia,,Zerwa 
