"X","title","author","publisher","category","score","ebookPrice","audiobookPrice","paperPrice","peopleInterested"
0,"Przejęcie","Wojciech Chmielarz","Wydawnictwo Czarne","Kryminał","4,4","27,90","29,90","39,90",108
1,"Zombie","Wojciech Chmielarz","Wydawnictwo Czarne","Kryminał","4,3","33,90","29,90","39,90",51
2,"Hashtag","Remigiusz Mróz","Czwarta Strona","Kryminał","3,9","31,90","39,90","14,90",52
3,"Listy zza grobu","Remigiusz Mróz","Filia","Kryminał","4,2","29,90","39,90","39,90",155
4,"Rana","Wojciech Chmielarz","Marginesy","Kryminał","4,1","31,91","39,90","39,90",119
5,"Nieodnaleziona","Remigiusz Mróz","Filia","Kryminał","4,2","29,90","39,90","39,90",72
6,"Iluzjonista","Remigiusz Mróz","Filia","Kryminał","4,5","29,90","39,90","39,90",371
7,"W kręgach władzy Władza absolutna","Remigiusz Mróz","Filia","Kryminał","0,0","","","39,90",NA
8,"Kasacja","Remigiusz Mróz","Czwarta Strona","Kryminał","4,4","23,90","34,90","34,90",262
9,"Nikt się nie dowie","Agnieszka Pietrzyk","Czwarta Strona","Kryminał","3,9","31,90","","39,90",311
10,"Drugi sen","Robert Harris","Wydawnictwo Albatros","Sensacja, thriller, horror","3,7","39,90","","39,90",139
11,"Ekstradycja","Remigiusz Mróz","Czwarta Strona","Kryminał","4,6","31,90","39,90","39,90",2763
12,"Głosy z zaświatów","Remigiusz Mróz","Filia","Kryminał","4,5","29,90","39,90","39,90",540
13,"Blizna / Już jesteś martwa","Sharon Bolton","Amber","Kryminał","0,0","","","69,90",NA
14,"Księżniczka mafii","Merissa Merico","Amber","Kryminał","0,0","","","39,80",NA
15,"Pensjonat Biały Dwór Tom 2. Afrykański klucz","Iga Karst","Szara Godzina","Kryminał","0,0","","","34,90",NA
16,"Dramaty","Sobczak Maciej","Poligraf","Kryminał","0,0","","","27,00",NA
17,"Boski Znak","Krzysztof Bochus","Skarpa Warszawska","Kryminał","4,2","38,00","","39,90",86
18,"Złe dzieci","Dominik Rutkowski","Świat Książki","Obyczajowe i romanse","4,0","32,90","","39,90",16
19,"Pętla","Grzegorz Majewski","Genius Creations","Sensacja, thriller, horror","4,3","29,99","","",NA
20,"Basen","Kocik Joanna","Harde Wydawnictwo","Obyczajowe i romanse","0,0","39,99","","39,99",NA
21,"Konstelacja zbrodni","Krzysztof Beśka","Oficynka","Kryminał","0,0","","","39,00",NA
22,"Zakłamani","Dulewicz Joanna","Czwarta Strona","Kryminał","0,0","","","36,90",NA
23,"Harmonia zbrodni","Aleksandra Marinina","Czwarta Strona","Kryminał","4,1","31,90","","39,90",55
24,"Czas Wagi","Aleksander Sowa","Wydawnictwo Lira","Kryminał","4,6","26,99","","36,99",57
25,"Bracia Vega","Lars Lenth","Wydawnictwo Literackie/Oficyna Literacka Noir sur Blanc","Obyczajowe i romanse","0,0","29,90","","38,00",NA
26,"Lupus","Jens Henrik Jensen","Helion","Kryminał","0,0","","","39,90",NA
27,"Chemik","Piotr Wójcik","Wydawnictwo Dragon","Kryminał","4,2","34,95","","34,95",45
28,"Załoga","Grzegorz Kalinowski","Skarpa Warszawska","Kryminał","3,7","38,00","","39,90",13
29,"Mam na ciebie oko","Higgins Clark Mary","Prószyński Media","Kryminał","0,0","","","38,00",NA
30,"Gdy zapadnie noc","Bailey Sarah","Karakter","Kryminał","0,0","","","39,90",NA
31,"Tajemnica mordercy","Caine Rachel","Filia","Kryminał","4,3","29,90","","39,90",108
32,"Listy zza grobu / Głosy z zaświatów","Remigiusz Mróz","Filia","Kryminał","0,0","","","59,90",NA
33,"Ślepiec / Grób","Max Czornyj","Filia","Kryminał","0,0","","","59,90",NA
34,"Serca szpiegów","Romański Marek","Ciekawe Miejsca","Kryminał","0,0","","","34,90",NA
35,"Życie i śmierć Axela Branda","Romański Marek","Ciekawe Miejsca","Kryminał","0,0","","","34,90",NA
36,"Zbrodnia na blokowisku","Aleksandra Rumin","Initium","Obyczajowe i romanse","3,8","28,90","","34,90",21
37,"Strzał w nocy","Bachrach Daniel","Ciekawe Miejsca","Kryminał","0,0","","","32,90",NA
38,"Tajemnica białej willi","Godek Piotr","Ciekawe Miejsca","Kryminał","0,0","","","29,90",NA
39,"Pokój nr 23","Różański Zenon","Ciekawe Miejsca","Kryminał","0,0","","","28,50",NA
40,"Zdrajca","Anna Kłodzińska","Ciekawe Miejsca","Kryminał","0,0","","","32,90",NA
41,"Nietoperze","Anna Kłodzińska","Ciekawe Miejsca","Kryminał","0,0","","","32,90",NA
42,"Trucizna działa","Cuculescu I.","Ciekawe Miejsca","Kryminał","0,0","","","32,90",NA
43,"Pan Lecoq","Gaboriau Emile","Ciekawe Miejsca","Kryminał","0,0","","","34,20",NA
44,"Małżeństwo Neili Forster","Romański Marek","Ciekawe Miejsca","Kryminał","0,0","","","31,30",NA
45,"Szpieg z Falklandów","Romański Marek","Ciekawe Miejsca","Kryminał","0,0","","","29,90",NA
46,"Malwina przegrała milion","Anna Kłodzińska","Ciekawe Miejsca","Kryminał","0,0","","","31,30",NA
47,"W pogardzie prawa","Anna Kłodzińska","Ciekawe Miejsca","Kryminał","0,0","","","31,30",NA
48,"Grzęzawisko","Anna Kłodzińska","Ciekawe Miejsca","Kryminał","0,0","","","32,80",NA
49,"Pan Przypadek i cykliści","Jacek Getner","Wydawnictwo Zakładka","Kryminał","0,0","16,80","","31,92",NA
50,"Powtórka z rozgrywki","Marcin Wolski","Zysk i S-ka","Obyczajowe i romanse","3,0","32,00","","39,90",NA
51,"Irma","Gryglik Marcin","Zysk i S-ka","Kryminał","0,0","","","39,90",NA
52,"Stalker","Bartoś Jolanta","Białe Pióro","Kryminał","0,0","","","36,00",NA
53,"Oddaj albo giń!","Olga Rudnicka","Prószyński Media","Kryminał","0,0","","","38,00",NA
54,"Mroczny świt","Klaudiusz Szymańczak","Wydawnictwo Literackie/Oficyna Literacka Noir sur Blanc","Kryminał","4,1","29,90","34,90","39,90",18
55,"Ślad","Przemysław Żarski","Czwarta Strona","Kryminał","3,7","29,90","","36,90",28
56,"Kości nie kłamią","Melinda Leigh","Helion","Kryminał","0,0","","","39,90",NA
57,"W sieci zł@","James Wendy","Poradnia K","Kryminał","0,0","","","39,99",NA
58,"Wotum","Maciej Siembieda","Agora","Kryminał","0,0","","","39,99",NA
59,"Ciemność wśród nas","Mari Jungstedt","Bellona","Kryminał","0,0","","","39,90",NA
60,"Szukaj mnie","Lisa Gardner","Sonia Draga","Sensacja, thriller, horror","4,3","33,50","39,90","39,90",498
61,"Idealne dziecko","Berry Lucinda","Filia","Kryminał","0,0","","","42,90",NA
62,"Zniknięcie Sary Kroniki Klary Schulz","Nadia Szagdaj","Dragon","Kryminał","0,0","","","34,95",NA
63,"Czyjaś córka","Bell David","Prószyński i S-ka","Obyczajowe i romanse","0,0","32,00","","39,99",NA
64,"Piękne kłamstwa","Peter Swanson","Marginesy","Kryminał","3,7","31,90","","39,90",63
65,"Tunel śmierci","Otto Stemin","KtoCzyta.pl","Języki obce","0,0","14,90","","32,80",NA
66,"Rycerze mroku / Ciekawe Miejsca","Stanisław Wotowski","Ciekawe Miejsca","Kryminał","0,0","","","31,30",NA
67,"Kariera Panny Mańki / Ciekawe Miejsca","Stanisław Wotowski","Ciekawe Miejsca","Kryminał","0,0","","","31,30",NA
68,"Pocałunek śmierci / Ciekawe Miejsca","Godek Piotr","Ciekawe Miejsca","Kryminał","0,0","","","34,15",NA
69,"Idealna żona","Kimberly Belle","Filia","Kryminał","4,2","32,90","42,90","42,90",191
70,"Mord na Zimnych Wodach","Grosman Małgorzata","Zysk i S-ka","Kryminał","0,0","","","39,90",NA
71,"Pierwsza krew","Sire Cedric","Dragon","Kryminał","0,0","","","39,95",NA
72,"Miasto bezkresnej nocy","Preston Douglas, Child Lincoln","Agora","Kryminał","0,0","","","39,99",NA
73,"Reputacja","Marcin Kiszela","W.A.B.","Kryminał","0,0","","","39,99",NA
74,"Wypocznij i zgiń","Marta Matyszczak","Dolnośląskie","Kryminał","0,0","","","29,90",NA
75,"Łowca tatuaży","Belsham Alison","W.A.B.","Kryminał","0,0","","","39,99",NA
76,"Wioska kłamców","Hanna Greń","Czwarta Strona","Kryminał","4,0","31,90","","39,90",44
77,"Maigret i kloszard","Simenon Georges","C&T","Kryminał","0,0","","","19,00",NA
78,"Stracony","Jane Harper","Czarna Owca","Kryminał","4,4","34,99","","39,99",20
79,"Z moich kości","Marcin Dudziński","Czarna Owca","Kryminał","4,2","27,99","27,99","32,99",13
80,"Amnezja","Axat Federico","Prószyński i S-ka","Obyczajowe i romanse","0,0","32,00","","39,99",NA
81,"Krzyk do nieba","Mons Kallentoft","Rebis","Kryminał","5,0","33,90","","39,90",NA
82,"Pod powierzchnią nieba","Sut Jacek","Skarpa Warszawska","Kryminał","0,0","","","37,90",NA
83,"Błysk","Chojnacki Artur","Skarpa Warszawska","Kryminał","0,0","","","37,90",NA
84,"Mgliste powietrze","Ann Cleeves","Czwarta Strona","Kryminał","4,2","31,90","","39,90",59
85,"Czerwony świt","Jędrzej Pasierski","Wydawnictwo Czarne","Kryminał","4,2","27,90","29,90","34,90",58
86,"Mord","Rychner Jan","Novae Res","Kryminał","0,0","","","25,99",NA
87,"Mroczne jezioro","Bailey Sarah","Helion","Kryminał","0,0","","","39,90",NA
88,"Zadra","Robert Małecki","Czwarta Strona","Kryminał","4,4","31,90","36,90","39,90",133
89,"Milczenie lodu","Jonasson Ragnar","Amber","Kryminał","3,7","25,44","","9,99",11
90,"Chłopcy których kochano za mocno","Kyrcz jr., Kazimierz","HarperCollins Polska","Kryminał","0,0","","","38,99",NA
91,"Wilcze kobiety","Hanna Greń","Replika","Kryminał","0,0","","","36,90",NA
92,"Zaufasz mi","Diana Brzezińska","Otwarte","Kryminał","0,0","","","39,99",NA
93,"Schronisko dla ludzi","Wojciech Szlęzak","Wydawnictwo Lira","Kryminał","2,9","26,99","","36,99",NA
94,"Wada","Robert Małecki","Czwarta Strona","Kryminał","4,3","31,89","36,90","39,90",55
95,"Układ idealny","Emilia Wituszyńska","Wydawnictwo Kobiece","Kryminał","4,4","29,90","39,90","39,90",430
96,"Zmuszona by zabić","Rachel Abbott","Filia","Kryminał","0,0","","","42,90",NA
97,"Nieostrożna miłość","Peter Robinson","Sonia Draga","Sensacja, thriller, horror","3,9","32,50","39,00","39,00",18
98,"Zerwa","Remigiusz Mróz","Filia","Kryminał","4,5","29,90","","39,90",48
99,"Trawers","Remigiusz Mróz","Filia","Kryminał","4,5","26,90","","36,90",72
100,"Przewieszenie","Remigiusz Mróz","Filia","Kryminał","4,5","26,90","","36,90",70
101,"Niepamięć","Marek Stelar","Filia","Kryminał","4,3","29,90","","",30
102,"Poryw","Kinga Wójcik","Prószyński i S-ka","Obyczajowe i romanse","0,0","32,00","","39,99",NA
103,"Niewiadoma","Marek Stelar","Filia","Kryminał","4,3","29,90","","39,90",13
104,"Ktoś musi umrzeć","Sarah A. Denzil","Filia","Kryminał","3,7","29,90","","39,90",20
105,"Behawiorysta","Remigiusz Mróz","Filia","Kryminał","4,3","26,90","","36,90",171
106,"Sarkofag","Jacek Ostrowski","Skarpa Warszawska","Kryminał","4,2","32,00","","37,90",NA
107,"W kręgu podejrzenia","Zygmunt Zeydler-Zborowski","LTW","Kryminał","0,0","","","25,00",NA
108,"Zamachowiec","Liza Marklund","Czarna Owca","Kryminał","0,0","","","34,99",NA
